state,year,deaths,cruderate,ageadjustedrate,sttax,hispanic,nhblack,nhwhite,nhother,lhs,hs,somecol,colplus
Missouri,2013,23,2,2,17,0.057971,0.0811594,0.8304348,0.0304348,0.1217391,0.3130435,0.2565217,0.3086956
Missouri,2014,25,2.1,2.2,17,0.0451128,0.1097744,0.8,0.0451128,0.1067669,0.3052632,0.2571429,0.3308271
Missouri,2015,23,2,2,17,0.0446429,0.0877976,0.8139881,0.0535714,0.1145833,0.328869,0.2410714,0.3154762
Missouri,2016,20,1.7,1.7,17,0.0555556,0.0877193,0.8187134,0.0380117,0.0877193,0.2909357,0.2880117,0.3333333
New Jersey,2003,10,0.6,0.5,150,0.157767,0.131068,0.5970874,0.1140777,0.0898058,0.2669903,0.1941748,0.4490291
New Jersey,2004,36,2,2,205,0.1256685,0.0748663,0.6737968,0.1256685,0.0508021,0.2727273,0.197861,0.4786096
New Jersey,2005,19,1.1,1.1,240,0.1752669,0.1058719,0.588968,0.1298932,0.0756228,0.272242,0.1663701,0.4857651
New Jersey,2006,30,1.7,1.7,240,0.1824953,0.1154562,0.603352,0.0986965,0.0828678,0.2681564,0.1815642,0.4674115
New Jersey,2007,35,2,2,257.5,0.2064923,0.1109107,0.5635708,0.1190261,0.0712353,0.2795311,0.2019838,0.4472498
New Jersey,2008,26,1.5,1.5,257.5,0.1922121,0.1458161,0.5575808,0.1043911,0.0787075,0.2775476,0.2021541,0.4415907
New Jersey,2009,27,1.5,1.5,257.5,0.1935176,0.1239275,0.5376549,0.1448999,0.0772164,0.2735939,0.2020972,0.4470925
New Jersey,2010,26,1.5,1.5,270,0.2,0.1236715,0.5371981,0.1391304,0.068599,0.2724638,0.178744,0.4801932
New Jersey,2011,36,2.1,2,270,0.212828,0.1341108,0.5150632,0.1379981,0.0728863,0.2808552,0.1953353,0.4509232
New Jersey,2012,23,1.3,1.3,270,0.2182182,0.1091091,0.5045045,0.1681682,0.0870871,0.2392392,0.1951952,0.4784785
New Jersey,2013,39,2.3,2.3,270,0.2070064,0.1475584,0.4957537,0.1496815,0.0934183,0.2441614,0.1963907,0.4660297
New Jersey,2014,39,2.3,2.3,270,0.222103,0.1427039,0.4957082,0.139485,0.0675966,0.2349785,0.2038627,0.4935622
New Jersey,2015,27,1.6,1.6,270,0.2271293,0.1104101,0.5373291,0.1251314,0.0536278,0.2628812,0.190326,0.4931651
New Jersey,2016,29,1.7,1.7,270,0.1935484,0.10901,0.5472748,0.1501669,0.0456062,0.2491657,0.1879867,0.5172414
New Mexico,2007,10,2.5,2.6,91,0.5240175,0.0131004,0.3056768,0.1572052,0.1746725,0.3449782,0.2707424,0.209607
New Mexico,2008,11,2.8,2.8,91,0.5349794,0.0082305,0.3004115,0.1563786,0.2016461,0.3374486,0.2592593,0.2016461
New Mexico,2011,10,2.5,2.4,166,0.4538745,0.0258303,0.2878229,0.2324723,0.2103321,0.3763838,0.2656827,0.1476015
New York,2003,50,1.2,1.2,150,0.1523438,0.1236979,0.6354167,0.0885417,0.1080729,0.3020833,0.2265625,0.3632813
New York,2004,70,1.7,1.7,150,0.1596131,0.120919,0.6444982,0.0749698,0.0943168,0.2914147,0.210399,0.4038694
New York,2005,53,1.3,1.3,150,0.1531779,0.1280293,0.6305441,0.0882487,0.1211706,0.3054412,0.1979881,0.3754001
New York,2006,66,1.6,1.6,150,0.1671099,0.1285461,0.6054965,0.0988475,0.1156915,0.2952128,0.2074468,0.3816489
New York,2007,48,1.2,1.2,150,0.1656528,0.1221338,0.6172204,0.094993,0.1314927,0.3022929,0.1923257,0.3738886
New York,2008,70,1.7,1.7,150,0.1749777,0.1366874,0.5908281,0.0975067,0.1300089,0.2796082,0.2181656,0.3722173
New York,2009,66,1.6,1.6,275,0.1844616,0.1158564,0.6079055,0.0917765,0.1276692,0.2780554,0.2044525,0.3898228
New York,2010,65,1.6,1.6,275,0.1925353,0.137005,0.5694128,0.1010469,0.1383705,0.2858443,0.2080109,0.3677742
New York,2011,58,1.4,1.4,435,0.1902904,0.1374079,0.5639359,0.1083658,0.1274382,0.295622,0.201127,0.3758127
